These results were downloaded and refreshed on June      25, 2025 at 0:00 a.m. ET. / Ces résultats ont été téléchargés et rafraichis le 25 juin 2025 à 0h HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
12005	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	validated	validés	Fisher		Darren	Liberal	Libéral	40367	67.7	305	59939
12005	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	validated	validés	Lindsay		Michelle	People's Party - PPC	Parti populaire - PPC	750	1.3	305	59939
12005	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	validated	validés	Morrison		Keith	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4201	7	305	59939
12005	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	validated	validés	Obeid		Isabelle	Conservative	Conservateur	13557	22.7	305	59939
12005	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	validated	validés	Shea		Joseph	Libertarian	Libertarien	131	.2	305	59939
12005	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	validated	validés	Zaman		Rana	Green Party	Parti Vert	628	1.1	305	59939
12006	Halifax	Halifax	preliminary	préliminaires	Aliasut		Maricar	People's Party - PPC	Parti populaire - PPC	269	.5	0	52152
12006	Halifax	Halifax	preliminary	préliminaires	Boudreau		Mark	Conservative	Conservateur	9939	19.1	0	52152
12006	Halifax	Halifax	preliminary	préliminaires	Hamel-Gregory		Amethyste	Green Party	Parti Vert	422	.8	0	52152
12006	Halifax	Halifax	preliminary	préliminaires	Miedema		Shannon	Liberal	Libéral	32886	63.1	0	52152
12006	Halifax	Halifax	preliminary	préliminaires	Roberts		Lisa	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	8636	16.6	0	52152
12006	Halifax	Halifax	validated	validés	Aliasut		Maricar	People's Party - PPC	Parti populaire - PPC	271	.5	365	52525
12006	Halifax	Halifax	validated	validés	Boudreau		Mark	Conservative	Conservateur	9939	19.1	365	52525
12006	Halifax	Halifax	validated	validés	Hamel-Gregory		Amethyste	Green Party	Parti Vert	422	.8	365	52525
12006	Halifax	Halifax	validated	validés	Miedema		Shannon	Liberal	Libéral	32886	63	365	52525
12006	Halifax	Halifax	validated	validés	Roberts		Lisa	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	8642	16.6	365	52525
12007	Halifax West	Halifax-Ouest	preliminary	préliminaires	Batherson		Rob	Conservative	Conservateur	15006	27.2	0	55164
12007	Halifax West	Halifax-Ouest	preliminary	préliminaires	Diab		Lena Metlege	Liberal	Libéral	36210	65.6	0	55164
12007	Halifax West	Halifax-Ouest	preliminary	préliminaires	LeRue		Adam	People's Party - PPC	Parti populaire - PPC	382	.7	0	55164
12007	Halifax West	Halifax-Ouest	preliminary	préliminaires	Parker		Ron G.	Green Party	Parti Vert	497	.9	0	55164
12007	Halifax West	Halifax-Ouest	preliminary	préliminaires	Tench		Rae	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	3069	5.6	0	55164
12007	Halifax West	Halifax-Ouest	validated	validés	Batherson		Rob	Conservative	Conservateur	15020	27.2	426	55610
12007	Halifax West	Halifax-Ouest	validated	validés	Diab		Lena Metlege	Liberal	Libéral	36200	65.6	426	55610
12007	Halifax West	Halifax-Ouest	validated	validés	LeRue		Adam	People's Party - PPC	Parti populaire - PPC	384	.7	426	55610
12007	Halifax West	Halifax-Ouest	validated	validés	Parker		Ron G.	Green Party	Parti Vert	497	.9	426	55610
12007	Halifax West	Halifax-Ouest	validated	validés	Tench		Rae	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	3083	5.6	426	55610
12008	Kings--Hants	Kings--Hants	preliminary	préliminaires	Beazley		Karen	Green Party	Parti Vert	821	1.4	0	58697
12008	Kings--Hants	Kings--Hants	preliminary	préliminaires	Blois		Kody	Liberal	Libéral	35467	60.4	0	58697
